usuario_id;producto_id;producto;marca;familia;cluster;visitas;reservas;compras;favoritos;reposiciones;coincidencias_busqueda;puntaje_compatibilidad;probabilidad_compra;compra_observada;log_visitas;log_reservas;es_favorito;log_reposiciones;log_coincidencias_busqueda;afinidad_historica_producto;afinidad_promedio_cluster;coincide_marca_preferida;coincide_familia_preferida;coincide_genero_preferido;precio_normalizado;stock_normalizado
2;1;Sauvage;Dior;Aromatica;2;0;0;0;0;0;98;8.1088;0.0014;0;0;0;0;0;4.59512;0.094508;0.094508;1;0;0;0.901942;0.8
2;2;Miss Dior;Dior;Floral;2;5;7;1;1;0;302.5;15.9503;1;1;1.791759;2.079442;1;0;5.715382;0.748269;0.748269;1;1;1;0.921553;0.533333
2;3;Bleu de Chanel;Chanel;Amaderada;2;3;0;0;0;0;70;8.5343;0.0069;0;1.386294;0;0;0;4.26268;0.128804;0.128804;0;0;0;0.980388;0.666667
2;4;Coco Mademoiselle;Chanel;Floral;2;5;5;1;0;0;274.5;12.8706;1;1;1.791759;1.791759;0;0;5.618588;0.568031;0.568031;0;1;1;0.960777;0.466667
2;5;Eros;Versace;Aromatica;2;0;0;0;0;0;9;3.2615;0;0;0;0;0;0;2.302585;0.047357;0.047357;0;0;0;0.64699;0.933333
2;6;Dylan Blue;Versace;Amaderada;2;0;0;0;0;0;9;3.2615;0.0001;0;0;0;0;0;2.302585;0.047357;0.047357;0;0;0;0.627378;0.6
2;7;Acqua di Gio;Giorgio Armani;Citrica;2;0;0;0;0;0;4.5;2.4147;0;0;0;0;0;0;1.704748;0.035062;0.035062;0;0;0;0.686213;0.733333
2;8;Si;Giorgio Armani;Frutal;2;0;0;0;0;0;149.5;8.702;0.0005;0;0;0;0;0;5.013963;0.103122;0.103122;0;0;1;0.76466;0.4
2;9;1 Million;Paco Rabanne;Oriental;2;0;0;0;0;0;4.5;2.4147;0;0;0;0;0;0;1.704748;0.035062;0.035062;0;0;0;0.666601;0.866667
2;10;Invictus;Paco Rabanne;Aromatica;2;0;0;0;0;0;4.5;2.4147;0;0;0;0;0;0;1.704748;0.035062;0.035062;0;0;0;0.64699;1
2;11;Good Girl;Carolina Herrera;Oriental;2;0;0;0;0;0;119.5;8.3871;0.0006;0;0;0;0;0;4.79165;0.09855;0.09855;0;0;1;0.823495;0.333333
2;12;212 VIP Black;Carolina Herrera;Aromatica;2;0;0;0;0;0;45;6.2231;0.0006;0;0;0;0;0;3.828641;0.078744;0.078744;0;0;0;0.607766;0.266667
2;13;Y;Yves Saint Laurent;Aromatica;2;3;0;0;0;0;45;7.9196;0.0051;0;1.386294;0;0;0;3.828641;0.119878;0.119878;0;0;0;0.843106;0.533333
2;14;Libre;Yves Saint Laurent;Floral;2;0;5;5;0;0;209.5;10.6354;1;1;0;1.791759;0;0;5.349486;0.932702;0.932702;0;1;1;0.862718;0.466667
2;15;Le Male;Jean Paul Gaultier;Oriental;2;0;0;0;0;0;4.5;2.4147;0.0001;0;0;0;0;0;1.704748;0.035062;0.035062;0;0;0;0.705825;0.4
2;16;Scandal;Jean Paul Gaultier;Oriental;2;0;0;0;0;0;119.5;8.3871;0.0008;0;0;0;0;0;4.79165;0.09855;0.09855;0;0;1;0.784271;0.2
2;17;Explorer;Montblanc;Amaderada;2;0;0;0;0;0;55;6.5017;0.0002;0;0;0;0;0;4.025352;0.082789;0.082789;0;0;0;0.548931;0.6
2;18;Club de Nuit Intense;Lattafa;Amaderada;2;0;0;0;0;0;55;6.5017;0.0005;0;0;0;0;0;4.025352;0.082789;0.082789;0;0;0;0.450873;0.266667
2;19;Khamrah;Lattafa;Oriental;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.490096;0.133333
2;20;Asad;Lattafa;Amaderada;2;0;0;0;0;0;45;6.2231;0.0004;0;0;0;0;0;3.828641;0.078744;0.078744;0;0;0;0.392038;0.2
